,local_name,name,population
164,Pakistan,Pakistan,156483000
165,Panama,Panama,2856000
166,Pitcairn,Pitcairn,50
167,Peru/Piruw,Peru,25662000
168,Pilipinas,Philippines,75967000
169,Belau/Palau,Palau,19000
170,Papua New Guinea/Papua Niugini,Papua New Guinea,4807000
171,Polska,Poland,38653600
172,Puerto Rico,Puerto Rico,3869000
173,Choson Minjujuui In min Konghwaguk (Bukhan),North Korea,24039000
174,Portugal,Portugal,9997600
175,Paraguay,Paraguay,5496000
176,Filastin,Palestine,3101000
177,Polynesie francaise,French Polynesia,235000
178,Qatar,Qatar,599000
179,Reunion,Reunion,699000
180,Romania,Romania,22455500
181,Rossija,Russian Federation,146934000
182,Rwanda/urwanda,Rwanda,7733000
183,Al- Arabiya as-Sa udiya,Saudi Arabia,21607000
184,As-Sudan,Sudan,29490000
185,Senegal/Sounougal,Senegal,9481000
186,Singapore/Singapura/Xinjiapo/Singapur,Singapore,3567000
187,South Georgia and the South Sandwich Islands,South Georgia and the South Sandwich Islands,0
188,Saint Helena,Saint Helena,6000
189,Svalbard og Jan Mayen,Svalbard and Jan Mayen,3200
190,Solomon Islands,Solomon Islands,444000
191,Sierra Leone,Sierra Leone,4854000
192,El Salvador,El Salvador,6276000
193,San Marino,San Marino,27000
194,Soomaaliya,Somalia,10097000
195,Saint-Pierre-et-Miquelon,Saint Pierre and Miquelon,7000
196,Sao Tome e PrIncipe,Sao Tome and Principe,147000
197,Suriname,Suriname,417000
198,Slovensko,Slovakia,5398700
199,Slovenija,Slovenia,1987800
200,Sverige,Sweden,8861400
201,kaNgwane,Swaziland,1008000
202,Sesel/Seychelles,Seychelles,77000
203,Suriya,Syria,16125000
204,The Turks and Caicos Islands,Turks and Caicos Islands,17000
205,Tchad/Tshad,Chad,7651000
206,Togo,Togo,4629000
207,Prathet Thai,Thailand,61399000
208,Tocikiston,Tajikistan,6188000
209,Tokelau,Tokelau,2000
210,Turkmenostan,Turkmenistan,4459000
211,Timor Timur,East Timor,885000
212,Tonga,Tonga,99000
213,Trinidad and Tobago,Trinidad and Tobago,1295000
214,Tunis/Tunisie,Tunisia,9586000
215,Turkiye,Turkey,66591000
216,Tuvalu,Tuvalu,12000
217,Tai-wan,Taiwan,22256000
218,Tanzania,Tanzania,33517000
219,uganda,uganda,21778000
220,ukrajina,ukraine,50456000
221,united States Minor Outlying Islands,united States Minor Outlying Islands,0
222,uruguay,uruguay,3337000
223,united States,united States,278357000
224,uzbekiston,uzbekistan,24318000
225,Santa Sede/Citta del Vaticano,Holy See (Vatican City State),1000
226,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,114000
227,Venezuela,Venezuela,24170000
228,British Virgin Islands,"Virgin Islands, British",21000
229,Virgin Islands of the united States,"Virgin Islands, u.S.",93000
230,Viet Nam,Vietnam,79832000
231,Vanuatu,Vanuatu,190000
232,Wallis-et-Futuna,Wallis and Futuna,15000
233,Samoa,Samoa,180000
234,Al-Yaman,Yemen,18112000
235,Jugoslavija,Yugoslavia,10640000
236,South Africa,South Africa,40377000
237,Zambia,Zambia,9169000
238,Zimbabwe,Zimbabwe,11669000
